ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
0,"2023-04-25 12:22:52,004",0x71a242cbecb1b55994e39e6aa2938494,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
1,"2023-04-25 12:22:55,528",0x46dd204eafe9f716d4f721f23fe1754c,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
2,"2023-04-25 12:22:58,155",0x9a846e7a669a3ad0104c17a5dc0dd455,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
3,"2023-04-25 12:22:58,292",0x76016c89c89dc0ca351066fc00b7e190,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
4,"2023-04-25 12:22:59,430",0x3c4ccfd71049dadde9e6f6328cf77bc8,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
5,"2023-04-25 12:23:02,507",0xcd4e21b14ed4f1b7b56a804d96a8edbc,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
6,"2023-04-25 12:23:02,940",0xc45c8123788e6bfe017c5efbedb881f1,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
7,"2023-04-25 12:23:05,329",0xa741ff246a54d0b2b90f83efbae50b91,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
8,"2023-04-25 12:23:05,825",0x29efe38c10e47b141f3cef8009cd2078,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
9,"2023-04-25 12:23:06,216",0x5c098c907db9bbef5997b657ab34deec,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
10,"2023-04-25 12:23:11,158",0x3619f767d0d92dd87d719afd52e1b6dc,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
11,"2023-04-25 12:23:13,308",0xd036ae0f18af2c7e5b0bc7682742f0bc,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
12,"2023-04-25 12:23:15,292",0x13c264482e683f7b458b93b62d393284,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
13,"2023-04-25 12:23:17,822",0x1b49672635770aa66df494ec57b0bedb,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
14,"2023-04-25 12:23:20,780",0xdd47d98295df996bee6c3c1707e14d33,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
15,"2023-04-25 12:23:22,199",0x62f3a341b60e3a07b0a1b2498eca7e30,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
16,"2023-04-25 12:23:25,965",0x9cba2bdfa4bd2fc06b4c70e32dd0ca86,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
17,"2023-04-25 12:23:32,263",0x47d54fe665c06445b4058e11d0cc5a75,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
18,"2023-04-25 12:23:33,019",0x994a1f42d52ff46b348f85de7b0dc008,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
19,"2023-04-25 12:23:37,582",0xbf68d15f29c1a1aa008e31d7b89b7918,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
20,"2023-04-25 12:23:38,050",0x323895d1275f5b4a23b9ed0e13909e5b,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
21,"2023-04-25 12:23:38,738",0xa65b2b83e072bcba20605783f1a077aa,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
22,"2023-04-25 12:23:39,033",0xd26d71f40e65d85ed43039418c63d4c1,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
23,"2023-04-25 12:23:40,856",0x3f7613a9c95108c0df16f5364517a166,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
24,"2023-04-25 12:23:41,381",0xd7c6fcc619ce854e2626b37bbdc36c9c,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
25,"2023-04-25 12:23:43,695",0xe89fbef2c51b1bc5958945caaa3fc964,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
26,"2023-04-25 12:23:46,176",0x64874b64a3e7e6dfb480a12af43664b2,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
27,"2023-04-25 12:23:47,108",0x872b5ccace909bdedea10e1e3551b989,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
28,"2023-04-25 12:23:48,419",0xcf4ab604c6ab718ef9383e3fe606aca8,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
29,"2023-04-25 12:23:48,864",0x8dc4f1bbac973043d84360f3352b76ba,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
30,"2023-04-25 12:23:50,113",0x382aeec6f7a315b6233abc200a8673f5,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
31,"2023-04-25 12:23:51,442",0xfa25cbe40a35ba5180641560fe516148,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
32,"2023-04-25 12:23:52,642",0xce4828306b514f6e6de75662ad2c40a5,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
33,"2023-04-25 12:23:53,707",0x7711ae2622ecb12ead6379f051988419,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
