,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
0,"2023-04-23 15:18:53,689",0x9a6cd07b69bd1edbc51a6ccbf9bd24fb,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
1,"2023-04-23 15:18:54,192",0x286109616e05cb5061ad956b3af40de9,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
2,"2023-04-23 15:18:54,204",0x286109616e05cb5061ad956b3af40de9,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
3,"2023-04-23 15:18:54,717",0xc3e9ce31b842c7ab78af52b8102e9c1d,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
4,"2023-04-23 15:18:54,731",0xc3e9ce31b842c7ab78af52b8102e9c1d,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
5,"2023-04-23 15:18:54,883",0x918615cb25ce09da3d3a1813d6109528,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
6,"2023-04-23 15:18:54,896",0x918615cb25ce09da3d3a1813d6109528,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
7,"2023-04-23 15:18:55,266",0xf867581329259884ee7868a650762f46,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
8,"2023-04-23 15:18:55,295",0xf867581329259884ee7868a650762f46,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
9,"2023-04-23 15:18:55,808",0x5608734b234dce95b7a78d1f4b493dd2,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
10,"2023-04-23 15:18:55,819",0x5608734b234dce95b7a78d1f4b493dd2,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
11,"2023-04-23 15:18:56,237",0x74c4b2905b9930a2def299639468d77a,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
12,"2023-04-23 15:18:56,245",0x74c4b2905b9930a2def299639468d77a,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
13,"2023-04-23 15:18:56,717",0xbfd9ec0a14bc63d86de6b3f0ff3939ad,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
14,"2023-04-23 15:18:56,727",0xbfd9ec0a14bc63d86de6b3f0ff3939ad,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
15,"2023-04-23 15:18:57,056",0x9de7a14951aefd0e65c7f8c4f0022689,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
16,"2023-04-23 15:18:57,064",0x9de7a14951aefd0e65c7f8c4f0022689,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
17,"2023-04-23 15:18:57,458",0xe72900f36c3395b7730e7db0e9aacc24,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
18,"2023-04-23 15:18:57,470",0xe72900f36c3395b7730e7db0e9aacc24,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
19,"2023-04-23 15:18:57,962",0xde3cec8edb045e8a5e9a5ad28ca7d407,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
20,"2023-04-23 15:18:57,972",0xde3cec8edb045e8a5e9a5ad28ca7d407,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
21,"2023-04-23 15:18:58,204",0x782a86085745eab60449cd0f529e4dc4,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
22,"2023-04-23 15:18:58,220",0x782a86085745eab60449cd0f529e4dc4,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
23,"2023-04-23 15:18:58,615",0x492f8d0d100c0a180b63327f80ec1571,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
24,"2023-04-23 15:18:58,625",0x492f8d0d100c0a180b63327f80ec1571,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
25,"2023-04-23 15:18:59,127",0x69c2032a98809f50870e2a7b92182fb0,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
26,"2023-04-23 15:18:59,138",0x69c2032a98809f50870e2a7b92182fb0,Combine User Data,Combine User Data,"['user.firstname', 'user.lastname', 'user.birthday', 'address.street', 'address.postcode', 'address.number']",['personal data access'],['GDPR-6-1-b']
27,"2023-04-23 15:18:59,534",0x8ebf690dfe862b3747982077f1787d1b,Request User Address,Request User Address,['user.id'],['personal data access'],['GDPR-6-1-b']
