ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
0,"2023-04-23 17:04:45,866",0x4efbb6f7ed8d2ebffa957610a7a5c742,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
1,"2023-04-23 17:04:46,124",0x92cabde52cb1cc3375017acc2559e5de,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
2,"2023-04-23 17:04:46,397",0x1e97de2eca30e648fd4b4ae27004534,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
3,"2023-04-23 17:04:46,823",0xfe76bb4132226708250bf49fe5d50b54,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
4,"2023-04-23 17:04:47,035",0xe415ffb725695dda70940791430e56d9,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
5,"2023-04-23 17:04:47,162",0x88a8c5dbe99cf389a413f2dd11fe6a25,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
6,"2023-04-23 17:04:47,546",0x530c0501a08f1d2e5f2834fd5510243c,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
7,"2023-04-23 17:04:47,939",0x63dbaf07cb11bc35dd8511064f7c4ab,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
8,"2023-04-23 17:04:48,396",0x8c65d59b335e0241adf1298eec96e109,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
9,"2023-04-23 17:04:48,892",0x7d066a7ce6f163ad4dc87702def04e48,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
10,"2023-04-23 17:04:49,096",0x8f06473eb8785747b55d1c2529dbc2e8,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
11,"2023-04-23 17:04:49,403",0x373b94eac2319699e4cd17d3c5fe5c42,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
12,"2023-04-23 17:04:49,752",0xfc0569a87e3259ef4f747e1e0c3614e8,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
13,"2023-04-23 17:04:50,212",0xe2992f316f8324ccf69cf28fe81202ee,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
14,"2023-04-23 17:04:50,434",0xfec616f40303200715bf2033bce1b833,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
15,"2023-04-23 17:04:50,877",0xc65595d15138af12c55ac2f547e42195,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
16,"2023-04-23 17:04:51,179",0xdedacdaffde75b453897428b9ea0364,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
17,"2023-04-23 17:04:51,368",0xef61c0231e0a61785368be4e7dd95431,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
18,"2023-04-23 17:04:51,905",0xdf4022e789dfd9ce769b2742252e3f5,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
19,"2023-04-23 17:04:52,121",0x7897481056f904db1ecc6001e807971c,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
20,"2023-04-23 17:04:52,342",0x19cf7b5b5367b75ca45660806ff6bc7d,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
21,"2023-04-23 17:04:52,744",0x1c1f0fb5ad4d16e93ea32785818ef69a,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
22,"2023-04-23 17:04:53,159",0x3df2c213c8bc2b3a396f3cd8fd407017,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
23,"2023-04-23 17:04:53,611",0x66a16e0675428539279e0eb2f69b4fe5,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
24,"2023-04-23 17:04:53,780",0x3d3c36833eb853fdbbbb6406791a0e38,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
25,"2023-04-23 17:04:53,979",0x656d6c19967ba3e2d8c9294af418a683,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
26,"2023-04-23 17:04:54,384",0x624850d94a3eef06a2c5f0ffd8a770e4,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
27,"2023-04-23 17:04:54,933",0x8496c67c9af7775556c8339f422847bc,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
28,"2023-04-23 17:04:55,384",0xe88ca35c55739b3802841de2e421a539,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
29,"2023-04-23 17:04:55,534",0x35381c0800007f8f0e307a9fccf12839,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
30,"2023-04-23 17:04:55,803",0x66f291566108f930204f08e2d1a8676b,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
31,"2023-04-23 17:04:56,277",0x51f69e081f7b25f1fba890ddb7a8c99e,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
32,"2023-04-23 17:04:56,778",0xfd56bad170ec7db9d89fd663e149bde6,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
33,"2023-04-23 17:04:57,250",0x89bb00c1d84d2d8daea7ddff41b59c0f,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
34,"2023-04-23 17:04:57,603",0x581ad251475d0b4cc9de8719818098f9,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
